name,ra,dec,err_ellipse_r0,significance,hard_hs,hard_hm,hard_ms,flux_aper_b,flux_aper_s,flux_aper_m,flux_aper_h,extent_flag,var_flag,glon,glat,simbad_otype,simbad_id,source_class
2CXO J123046.7+122402,187.69459059271526,12.40075478725157,0.3264640192482275,13.907906931304101,0.82573391630231,0.13741411617739,0.46970643347908,,,0.0,,True,True,283.72743965313214,74.49702866914744,GlC,[JPB2009] 187.6946136+12.4004558,other
2CXO J030052.9-002218,45.22061978117222,-0.37184391362573294,2.248948444867953,13.906155506799834,0.35727670206121,0.28357276702061,0.079950031230481,9.5373242800543e-14,7.1900853708472e-15,1.498085244871e-14,7.4730582459069e-14,True,False,177.60281129166526,-48.999902547514104,,,
2CXO J121722.8+614627,184.34515920258718,61.77422358120532,2.610635332093624,13.905284582237515,-0.19113054341037,-0.032479700187383,-0.15865084322299,4.8412593388287e-13,1.1579299548993e-13,1.049350363089e-13,2.6862916862736e-13,False,False,129.92476622913702,54.88922024450667,Sy1,2MASS J12172279+6146287,AGN
2CXO J130824.6+042348,197.10263173466194,4.396771745943686,0.465552740801339,13.90391536286397,0.084946908182386,0.19737663960025,-0.11492816989382,5.0106903037969e-14,5.9686690795854e-15,9.2323921103324e-15,3.5605891865897e-14,False,False,313.7745636623785,66.91054196947539,,,
2CXO J140644.0+341125,211.68361322681994,34.19027712161797,0.3051041563254122,13.90383918005031,0.89943785134291,0.88819487820112,0.038725796377264,2.7093267984767e-14,2.4705614910082e-16,4.5292822692979e-16,2.7085326058196e-14,False,False,61.133105674143756,72.37110744340306,X,[TPE2003] X1,other
2CXO J100513.9-074312,151.30790097301923,-7.720217356114028,0.3017885867112567,13.903539414530998,-0.14990630855715,0.16364772017489,-0.30605871330418,2.9132635206074e-15,7.1049204076502e-16,4.5821003325247e-16,1.6843395353479e-15,True,True,247.78368097651966,36.77960653666914,LXB,NAME [LIW2015] 38,stellar
2CXO J203055.2+383346,307.73035669277215,38.56300485728694,0.303909744728992,13.90307614782188,0.96814490943161,0.85821361648969,0.61211742660837,1.3271941866215e-12,2.9255913802646e-15,3.1918164093602e-14,1.3300239897758e-12,False,False,77.74327431661355,-0.48301350143388905,AG?,IGR J20310+3835,AGN
2CXO J074206.7+741536,115.52797297642098,74.26029069791652,0.3125829374600473,13.9029151697924,0.80324797001874,0.94565896314803,-0.62211118051218,1.1692631720519e-14,3.2061683215609e-16,1.2115812033569e-16,1.1494708760354e-14,False,True,140.62814353921436,29.46113542425658,GiC,[SP2002] J074206.6+741538,AGN
2CXO J122004.2+291651,185.0176341830561,29.280954857447885,0.29635554438359996,13.902856741677336,0.024984384759525,0.039975015615241,-0.013741411617739,6.7404793927931e-15,1.1329915161984e-15,1.5909660098281e-15,4.0181016816594e-15,False,True,193.80075051965346,82.76360617049708,LXB,[BFK2009] 185,stellar
2CXO J051921.5-454233,79.83972002169708,-45.70939975131377,0.3470409134612784,13.90209668227174,-0.30980637101811,0.041224234853217,-0.34478450968145,8.0504838250254e-15,2.2630397936837e-15,1.4493132003094e-15,4.9807738208146e-15,False,True,251.50417604252686,-34.71007771495167,,,
