name,ra,dec,err_ellipse_r0,significance,hard_hs,hard_hm,hard_ms,flux_aper_b,flux_aper_s,flux_aper_m,flux_aper_h,extent_flag,var_flag,glon,glat,simbad_otype,simbad_id,source_class
2CXO J225710.6-362744,344.2942838909853,-36.46217613868303,0.2940514434764732,73.39895055277275,-0.024984384759525,0.092442223610244,-0.11742660836977,8.3493752633372e-13,1.3625308968473e-13,1.6885142083561e-13,5.3793996433097e-13,True,False,4.659111008420528,-64.10966885741072,rG,IC 1459,AGN
2CXO J151441.9-812338,228.6749025324832,-81.39390630074575,0.29823035710575374,73.37830112943456,0.17988757026858,0.25983760149906,-0.084946908182386,6.9577873168055e-12,2.0173864549946e-12,8.141460641591e-13,4.184997598686e-12,False,False,308.28057324636256,-20.050884924462178,Sy1,LEDA  225607,AGN
2CXO J060759.6-083450,91.99875358652014,-8.58057248045721,0.2938425452154763,73.35593655629518,0.24609618988132,0.18613366645846,0.062460961898813,2.3916422667115e-12,2.4600089759824e-13,4.289998434776e-13,1.748182231654e-12,False,True,215.75169905866602,-13.523808899043383,BLL,QSO B0605-0834,AGN
2CXO J041833.8+573222,64.64093734925655,57.53971986143879,0.2939389782452957,73.32469016718,-0.52717051842598,-0.5209244222361,-0.0062460961898814,1.7410540391589e-14,5.3371839107966e-15,7.7906468856219e-15,4.9529757279437e-15,True,True,147.97896704452893,5.119089490393936,?,[DKP2011] A,other
2CXO J040353.7-360501,60.97396261362536,-36.083852178432146,0.2943404424643943,73.22789732722013,0.23860087445347,0.36352279825109,-0.13741411617739,1.3422839595442e-11,1.4643158965028e-12,1.6186394999782e-12,1.047431217134e-11,False,False,237.74290183651698,-48.48331906684597,Bla,QSO J0403-3605,AGN
2CXO J085905.6-473041,134.77352770859352,-47.51134748240082,0.29395504734128697,73.12667446416,0.67083073079325,0.064959400374766,0.63335415365397,7.2896194738437e-13,2.4057733512144e-14,2.0441173847821e-13,5.0743783847162e-13,True,True,267.94124830668585,-1.0576501649281709,IR,[DBG2009] 247,other
2CXO J053610.1-052204,84.04235315791766,-5.367938617417095,0.3130208517519532,72.95068101812296,-0.84946908182386,-0.50593379138039,-0.60087445346658,9.5126325212289e-14,6.4309220007954e-14,1.8925962699452e-14,1.163369195252e-14,True,True,209.09692631733293,-19.175532229468878,Or*,V* V391 Ori,other
2CXO J215806.2-150109,329.52617845792156,-15.019257968318552,0.2941478080213699,72.81324241387512,-0.0062460961898814,0.21736414740787,-0.22361024359775,1.2857501390858e-12,2.4218245156651e-13,2.0019022139067e-13,8.5730010599183e-13,False,True,40.63972367077801,-48.02229498372033,Bla,QSO B2155-152,AGN
2CXO J033259.8-274748,53.24941520887546,-27.796750792579004,0.29829370359017787,72.80000886395888,-0.24609618988132,0.017489069331668,-0.26233603997502,1.4616797541959e-14,3.8385732288072e-15,2.8760462632754e-15,7.9365839731466e-15,False,True,223.58356945930828,-54.31959249666604,QSO,[VV2006] J033259.8-274749,AGN
2CXO J174534.3-290046,266.3931911615458,-29.012945136734928,0.30504222413449933,72.7898318162037,0.92567145534041,0.97439100562149,-0.53216739537789,2.4813094283431e-15,1.42652407054e-17,9.6128708968313e-18,2.5935056439317e-15,False,True,359.92910032370554,-0.031192622409434153,X,CXOGC J174534.3-290046,other
2CXO J053520.9-051637,83.83745695347085,-5.2770314251250685,0.2952377413201241,72.38655292940695,-0.14990630855715,-0.10118675827608,-0.048719550281074,5.2722312211896e-14,1.0099044519888e-14,1.5394439514669e-14,2.7648735810616e-14,False,True,208.91327213364116,-19.31631993758788,TT*,V* V493 Ori,stellar
2CXO J162739.4-243915,246.91433355359857,-24.654402555992633,0.3179615370707249,72.37202300705569,0.8369768894441,0.38226108682074,0.66958151155528,9.4833559208455e-13,1.5512110386504e-14,1.443616310288e-13,7.9691686613024e-13,True,True,353.0633957031679,16.534742618476837,TT*,ROX 27,stellar
2CXO J141253.5-652254,213.22300654700484,-65.38185514879305,0.2950136724668708,72.34783908247466,0.33104309806371,-0.038725796377264,0.36477201748907,2.1286836340384e-13,1.9070883204746e-14,6.884305862611e-14,1.2679289014743e-13,False,True,311.28552101283066,-3.839719037615514,X,[SGT2004] J141253.52-652254.7,other
2CXO J141239.0-652332,213.16270625093023,-65.39243827687541,0.2978817106466392,72.3200900688612,0.52592129918801,0.14490943160525,0.41224234853217,1.7970863569923e-12,1.0900303101988e-13,4.2067038841131e-13,1.287655442287e-12,False,True,311.25830228316454,-3.841996816359151,ULX,[GMA99d] 4,other
2CXO J024104.8-081520,40.27001508655155,-8.255782185030258,0.29445275435771445,72.28181620691579,0.71830106183635,0.74328544659588,-0.054965646470956,1.9364051862394e-12,4.8648804265289e-14,7.0055367849348e-14,1.8499022686861e-12,True,False,182.0195186988789,-57.92546798875332,X,JCMTSF J024105.0-081520,other
2CXO J141449.5+361240,213.70645093497092,36.21117131591712,0.3049957667383801,72.20846293730831,-0.35227982510931,0.0012492192379763,-0.35352904434728,1.6251723345219e-13,5.655391301433e-14,2.9129186811219e-14,7.7340892262198e-14,False,True,65.29320662784629,70.12744933829701,Sy1,2XMM J141449.5+361239,AGN
2CXO J053939.4-690029,84.91451112535708,-69.00825045762714,0.30613965802806964,72.20609241740387,0.36602123672705,0.26108682073704,0.11242973141786,5.6238461062775e-14,0.0,1.0203779066004e-14,4.9621868786592e-14,False,True,279.3458714626321,-31.597698609853467,X,CXOU J053939.4-690029,other
2CXO J140414.2+542604,211.05906096734168,54.434588547608705,0.29740562498357653,72.1097801617176,-0.66583385384135,-0.40474703310431,-0.35727670206121,3.0546262838185e-13,1.3846637679647e-13,8.4717236442681e-14,8.3356945246767e-14,True,True,101.88219214911194,59.61781157249697,Rad,[KCF2005] M101 alf,other
2CXO J053508.6-052901,83.78625891542924,-5.483810331696559,0.31338280081114106,72.08291521372344,0.23360399750156,-0.034978138663335,0.26733291692692,5.9369490702893e-14,5.8388039448651e-15,1.7291952379939e-14,3.6854958622224e-14,True,True,209.08432037694396,-19.4553224480463,Or*,V* V1325 Ori,other
2CXO J054101.8-015857,85.25779324268797,-1.9824688338085152,0.575687053419567,72.0677696015086,-0.4684572142411,-0.098688319800125,-0.38850718301062,6.123252645795e-13,1.9832162824288e-13,1.3160760376242e-13,2.8582575915416e-13,False,True,206.52209104995967,-16.543524240290445,TT*,Kiso A-0904 115,stellar
2CXO J092246.4-395935,140.69336854534066,-39.993075472034825,0.2939389782452957,71.97445728092771,0.10618363522798,0.1474078700812,-0.042473454091193,1.0818720387179e-12,1.4210522732148e-13,1.9652659478346e-13,7.5482035356477e-13,True,True,265.35157482219046,7.190246574583022,Bla,QSO B0920-397,AGN
2CXO J050112.8-015914,75.30337446219983,-1.987293407007987,0.2941959784571612,71.97322794162685,-0.052467207995003,0.15490318550906,-0.20612117426608,7.5167610180814e-13,1.2757424921456e-13,1.2758125862266e-13,5.0199594113837e-13,True,False,201.45103650154192,-25.295602180939948,G,[WMF2001] N-6-5C,AGN
2CXO J053516.1-052237,83.81745479068394,-5.3770795575999095,0.2961482714030448,71.96521095628222,-0.092442223610244,-0.1998750780762,0.10993129294191,5.3646298582531e-15,7.9529786662694e-16,2.0330693338709e-15,2.6702102655343e-15,False,True,208.99827056969437,-19.379363806666372,Rad,[FRM2016] 293,other
